Nom_Ciudad,Talla_Solicitada,Unidades
AGUACHICA,7,1
AGUACHICA,10,3
AGUACHICA,11,2
AGUACHICA,16,1
AGUSTIN CODAZZI,3,1
AGUSTIN CODAZZI,4,1
AGUSTIN CODAZZI,5,1
AGUSTIN CODAZZI,6,1
AGUSTIN CODAZZI,9,8
AGUSTIN CODAZZI,10,5
AGUSTIN CODAZZI,11,2
AGUSTIN CODAZZI,12,3
AGUSTIN CODAZZI,16,3
APARTADO,10,1
APARTADO,11,1
APARTADO,16,1
ARACATACA,13,2
ARAUCA,9,2
ARAUCA,10,3
ARAUCA,12,1
ARAUCA,16,1
ARIGUANI,11,1
ARJONA,9,1
ARJONA,10,8
ARJONA,11,1
ARJONA,16,1
ASTREA,8,1
ASTREA,10,2
ASTREA,11,1
ASTREA,13,1
ASTREA,16,1
BARANOA,9,5
BARANOA,10,3
BARANOA,11,2
BARANOA,12,1
BARANOA,13,1
BARANOA,16,2
BARANOA,36,1
BARRANCABERMEJA,6,1
BARRANCABERMEJA,7,2
BARRANCABERMEJA,9,3
BARRANCABERMEJA,12,1
BARRANCABERMEJA,16,2
BARRANCAS,3,1
BARRANCAS,11,1
BARRANCAS,12,5
BARRANCAS,13,2
BARRANCAS,17,2
BARRANCAS,30,1
BARRANQUILLA,2,3
BARRANQUILLA,3,13
BARRANQUILLA,4,13
BARRANQUILLA,5,17
BARRANQUILLA,6,12
BARRANQUILLA,7,1
BARRANQUILLA,9,286
BARRANQUILLA,10,320
BARRANQUILLA,11,115
BARRANQUILLA,12,169
BARRANQUILLA,13,85
BARRANQUILLA,16,90
BARRANQUILLA,17,8
BARRANQUILLA,18,1
BARRANQUILLA,23,3
BARRANQUILLA,25,2
BARRANQUILLA,26,1
BARRANQUILLA,27,1
BARRANQUILLA,30,5
BARRANQUILLA,31,7
BARRANQUILLA,36,32
BARRANQUILLA,50,23
BARRANQUILLA,53,6
BECERRIL,6,1
BECERRIL,9,1
BECERRIL,10,1
BECERRIL,11,6
BECERRIL,12,3
BELLO,11,1
BELLO,16,1
"BOGOTA, D.C.",3,1
"BOGOTA, D.C.",4,2
"BOGOTA, D.C.",9,13
"BOGOTA, D.C.",10,21
"BOGOTA, D.C.",11,10
"BOGOTA, D.C.",12,5
"BOGOTA, D.C.",13,3
"BOGOTA, D.C.",16,11
"BOGOTA, D.C.",36,2
BOLIVAR,16,1
BOSCONIA,2,1
BOSCONIA,4,1
BOSCONIA,9,2
BOSCONIA,10,4
BOSCONIA,11,2
BOSCONIA,12,1
BOSCONIA,13,1
BOSCONIA,16,2
BOSCONIA,26,2
BOSCONIA,36,1
BUCARAMANGA,2,4
BUCARAMANGA,4,1
BUCARAMANGA,6,1
BUCARAMANGA,7,1
BUCARAMANGA,9,1
BUCARAMANGA,10,8
BUCARAMANGA,11,3
BUCARAMANGA,12,2
BUCARAMANGA,16,6
BUENAVISTA,4,1
BUENAVISTA,9,2
BUENAVISTA,12,1
CAJICA,6,1
CALAMAR,9,2
CALAMAR,10,2
CALAMAR,13,1
CALAMAR,16,1
CALAMAR,36,1
CANALETE,9,1
CANALETE,16,1
CANDELARIA,11,1
CARTAGENA,2,1
CARTAGENA,4,1
CARTAGENA,9,27
CARTAGENA,10,26
CARTAGENA,11,9
CARTAGENA,12,11
CARTAGENA,13,3
CARTAGENA,16,17
CARTAGENA,23,1
CARTAGENA,36,5
CAUCASIA,10,1
CAUCASIA,16,1
CAUCASIA,36,3
CERETE,9,3
CERETE,10,3
CERETE,11,1
CERETE,12,1
CERETE,13,1
CERETE,16,4
CERETE,36,4
CHIMICHAGUA,9,1
CHINU,4,1
CHINU,11,1
CHINU,12,1
CHINU,16,1
CHIRIGUANA,9,6
CHIRIGUANA,10,1
CHIRIGUANA,12,1
CHIRIGUANA,36,1
CIENAGA,9,3
