Cliente_Id_Cliente,F,M
7,6,1378000.0
11,1,389000.0
59,2,298000.0
69,1,295000.0
113,4,624000.0
132,5,1296000.0
145,5,810000.0
155,9,1607000.0
156,6,1544000.0
221,1,249000.0
228,1,149000.0
312,3,537000.0
322,1,295000.0
339,2,498000.0
340,7,1432000.0
380,1,441000.0
386,1,295000.0
394,2,538000.0
404,2,574000.0
416,1,295000.0
472,1,349000.0
602,1,250000.0
626,2,493000.0
652,3,1239000.0
668,2,3000000.0
674,3,287000.0
687,8,2942000.0
779,3,793000.0
789,1,300000.0
796,3,894000.0
808,1,134000.0
821,5,963000.0
862,1,279000.0
901,2,428000.0
905,1,295000.0
906,2,628000.0
928,4,1102000.0
936,2,358000.0
943,1,295000.0
944,3,686000.0
945,7,2295000.0
991,2,397000.0
1037,2,439000.0
1044,3,675000.0
1046,3,775000.0
1087,1,349000.0
1094,1,149000.0
1125,3,361960.0
1148,2,544000.0
1211,3,717000.0
1221,1,200000.0
1285,2,590000.0
1319,2,138000.0
1379,2,477000.0
1452,4,551000.0
1488,3,696000.0
1498,4,991000.0
1507,1,729000.0
1518,5,1173000.0
1519,3,1087000.0
1529,1,295000.0
1561,1,200000.0
1566,4,1316000.0
1638,1,198000.0
1650,2,501500.0
1871,1,295000.0
1881,2,278000.0
1899,3,653000.0
1918,2,158370.0
1920,2,698000.0
1961,1,349000.0
2041,4,1134000.0
2093,1,149000.0
2103,2,544000.0
2128,1,279000.0
2147,3,500000.0
2169,1,149000.0
2171,4,536000.0
2228,1,279000.0
2243,4,666000.0
2252,2,135000.0
2315,1,349000.0
2344,1,349000.0
2357,1,349000.0
2360,2,638000.0
2502,1,289000.0
2514,9,4841000.0
2596,3,517000.0
2605,5,1361000.0
2607,6,1027000.0
2618,2,644000.0
2632,3,842000.0
2655,2,738000.0
2760,1,279000.0
2872,4,987000.0
2893,2,544000.0
2894,1,248000.0
2974,1,279000.0
3042,1,149000.0
3060,2,531000.0
3071,1,295000.0
3095,4,882000.0
3138,2,477000.0
3146,2,678000.0
3203,1,279000.0
3229,2,888000.0
3274,1,149000.0
3275,1,279000.0
3280,1,279000.0
3294,2,698000.0
3306,5,1006000.0
3383,1,549000.0
3404,1,349000.0
3456,1,198000.0
3488,1,239000.0
3490,1,295000.0
3493,2,698000.0
3508,1,248000.0
3530,1,220000.0
3587,1,349000.0
3592,1,295000.0
3606,3,896000.0
3658,6,1089000.0
3685,6,1663000.0
3687,1,349000.0
3689,6,1629000.0
3726,3,1016000.0
3744,3,837000.0
3791,1,549000.0
3843,2,778000.0
3920,1,349000.0
3935,2,958000.0
4040,2,778000.0
4061,2,597000.0
4085,3,447000.0
4111,2,998000.0
4136,2,528000.0
4164,2,264000.0
4185,1,279000.0
4198,6,1808000.0
4281,1,295000.0
4345,1,279000.0
4419,1,149000.0
4434,1,279000.0
4476,4,1248000.0
4490,4,894000.0
4499,2,397000.0
4535,3,839000.0
4546,2,298000.0
4653,1,249000.0
4742,2,497000.0
4777,1,349000.0
4814,1,187000.0
4846,2,298000.0
4912,1,69000.0
4946,11,1684200.0
4947,2,360000.0
4973,4,739000.0
